Plant,Product series,產品類型,客戶代碼,客戶名稱
2670,FU53702,NB,5,ASUS
2670,FU5370BL2,NB,5,ASUS
2670,FU53711,NB,5,ASUS
2670,FU53712,NB,5,ASUS
2670,FU5371BL1,NB,5,ASUS
2670,FU5371BL2,NB,5,ASUS
2670,FU53722,NB,5,ASUS
2670,FU5372BL2,NB,5,ASUS
2670,FU8383BL1,NB,8,LG
2670,SCMC50B10,TP,,
2670,SCMC50B11,TP,,
2670,SCMC50B12,TP,,
2670,SCMC50B20,TP,,
2670,SN0001B,NB,0,Incubation
2670,SN0101B,NB,0,Incubation
2670,SN0102B,NB,0,Incubation
2670,SN0D00X00,NB,0,Incubation
2670,SN0D00X10,NB,0,Incubation
2670,SN0D00X20,NB,0,Incubation
2670,SN10SCB4A,NB,1,HP
2670,SN10SCB4D,NB,1,HP
2670,SN10SCB4F,NB,1,HP
2670,SN10SCB4G,NB,1,HP
2670,SN10SCB4H,NB,1,HP
2670,SN10SCB6A,NB,1,HP
2670,SN10SCB6D,NB,1,HP
2670,SN19MCB4E,NB,1,HP
2670,SN1A70B,NB,1,HP
2670,SN1A70B1,NB,1,HP
2670,SN1A71B,NB,1,HP
2670,SN1A71B2,NB,1,HP
2670,SN1A72B,NB,1,HP
2670,SN1B70B20,NB,1,HP
2670,SN1B70B30,NB,1,HP
2670,SN1B70B40,NB,1,HP
2670,SN1B70B50,NB,1,HP
2670,SN1B70B60,NB,1,HP
2670,SN1B70B70,NB,1,HP
2670,SN1B70B80,NB,1,HP
2670,SN1B71B10,NB,1,HP
2670,SN1B71B20,NB,1,HP
2670,SN1B71B42,NB,1,HP
2670,SN1C70B10,NB,1,HP
2670,SN1C70B30,NB,1,HP
2670,SN1C71B50,NB,1,HP
2670,SN1C71B70,NB,1,HP
2670,SN1C72B10,NB,1,HP
2670,SN1C72B30,NB,1,HP
2670,SN1D70X10,NB,1,HP
2670,SN2005B2A,NB,2,Dell
2670,SN2005BZ,NB,2,Dell
2670,SN2005X2A,NB,2,Dell
2670,SN2005Z,NB,2,Dell
2670,SN2006B2A,NB,2,Dell
2670,SN2006BZ,NB,2,Dell
2670,SN2006X2A,NB,2,Dell
2670,SN2006Z,NB,2,Dell
2670,SN2007B2A,NB,2,Dell
2670,SN2007BZ,NB,2,Dell
2670,SN2007X2A,NB,2,Dell
2670,SN2007Z,NB,2,Dell
2670,SN2008Z,NB,2,Dell
2670,SN20101,NB,2,Dell
2670,SN2010B1Z,NB,2,Dell
2670,SN2010BZ,NB,2,Dell
2670,SN2010Z,NB,2,Dell
2670,SN2011BCZ,NB,2,Dell
2670,SN2011BZ,NB,2,Dell
2670,SN2011CZ,NB,2,Dell
2670,SN2011Z,NB,2,Dell
2670,SN2014B1Z,NB,2,Dell
2670,SN2014BZ,NB,2,Dell
2670,SN2121B,NB,2,Dell
2670,SN2121B1,NB,2,Dell
2670,SN2122B,NB,2,Dell
2670,SN2122B1,NB,2,Dell
2670,SN2285BZ,NB,2,Dell
2670,SN2286BZ,NB,2,Dell
2670,SN2290BZ,NB,2,Dell
2670,SN2B00B20,NB,2,Dell
2670,SN2B00B2A,NB,2,Dell
2670,SN2B00X20,NB,2,Dell
2670,SN2B00X2A,NB,2,Dell
2670,SN2B01B20,NB,2,Dell
2670,SN2B01B2A,NB,2,Dell
2670,SN2B01X20,NB,2,Dell
2670,SN2B01X2A,NB,2,Dell
2670,SN2B02B20,NB,2,Dell
2670,SN2B02B2A,NB,2,Dell
2670,SN2B30B,NB,2,Dell
2670,SN2B31B,NB,2,Dell
2670,SN2B32B20,NB,2,Dell
2670,SN2B33B20,NB,2,Dell
2670,SN2B33B2A,NB,2,Dell
2670,SN2B50,NB,2,Dell
2670,SN2B50B,NB,2,Dell
2670,SN2B50B21,NB,2,Dell
2670,SN2B50X11,NB,2,Dell
2670,SN2B60B20,NB,2,Dell
2670,SN2B60B2A,NB,2,Dell
2670,SN2C10B20,NB,2,Dell
2670,SN2C10B21,NB,2,Dell
2670,SN2C11B20,NB,2,Dell
2670,SN2C11B21,NB,2,Dell
2670,SN2C12B20,NB,2,Dell
2670,SN2C12B21,NB,2,Dell
2670,SN2C12B22,NB,2,Dell
2670,SN2C12B23,NB,2,Dell
2670,SN2C12X10,NB,2,Dell
2670,SN2C13B20,NB,2,Dell
2670,SN2C13B21,NB,2,Dell
2670,SN2C13X10,NB,2,Dell
2670,SN2C20B20,NB,2,Dell
2670,SN2C20B22,NB,2,Dell
2670,SN2C20B23,NB,2,Dell
2670,SN2D00B20,NB,2,Dell
2670,SN2D00X20,NB,2,Dell
2670,SN2D01B20,NB,2,Dell
2670,SN2D01X20,NB,2,Dell
2670,SN2D02B20,NB,2,Dell
2670,SN2D02X20,NB,2,Dell
2670,SN2D30B20,NB,2,Dell
2670,SN2D31B20,NB,2,Dell
2670,SN2D32B20,NB,2,Dell
2670,SN2D33B20,NB,2,Dell
2670,SN2D34B20,NB,2,Dell
2670,SN2D61B20,NB,2,Dell
2670,SN3000,NB,3,Lenovo
2670,SN3000B,NB,3,Lenovo
2670,SN3001B,NB,3,Lenovo
2670,SN3003B,NB,3,Lenovo
2670,SN3010B,NB,3,Lenovo
2670,SN3011B,NB,3,Lenovo
2670,SN3011B0A,NB,3,Lenovo
2670,SN3011BL0,NB,3,Lenovo
2670,SN3011X0A,NB,3,Lenovo
2670,SN3011X3A,NB,3,Lenovo
2670,SN3011X4A,NB,3,Lenovo
2670,SN3012B,NB,3,Lenovo
2670,SN3012B0A,NB,3,Lenovo
2670,SN3012B2,NB,3,Lenovo
2670,SN3012BL0,NB,3,Lenovo
2670,SN3012X0A,NB,3,Lenovo
2670,SN3012X3A,NB,3,Lenovo
2670,SN3012X4A,NB,3,Lenovo
2670,SN3012XL0,NB,3,Lenovo
2670,SN3013B,NB,3,Lenovo
2670,SN3014B2,NB,3,Lenovo
2670,SN3100B,NB,3,Lenovo
2670,SN3101,NB,3,Lenovo
2670,SN3101B,NB,3,Lenovo
2670,SN3101B1,NB,3,Lenovo
2670,SN3102,NB,3,Lenovo
2670,SN3102B,NB,3,Lenovo
