Priority,Rule Type,Key,Product Type,Product Line,Production Site,Customer,Customer Code Logic,Is_WIP,Enabled
10,Series Prefix,SN,NB,NB,常州廠(A2)-IPS,,NB_3RD_CHAR,N,Y
11,Series Prefix,FU,NB,NB,常州廠(A2)-IPS,,NB_3RD_CHAR,N,Y
12,Series Prefix,SP,TP,TP,常州廠(A9)-IPS,,NB_3RD_CHAR,N,Y
13,Series Prefix,SM,DT Mouse,,,,DT_3_4_CHAR,N,Y
14,Series Prefix,SA,DT Accessory,,,,DT_3_4_CHAR,N,Y
15,Description Contains,RECEIVER,DT Dongle,,,,,N,Y
16,Series Prefix,SK,DT Keyboard,,,,DT_3_4_CHAR,N,Y
17,Series Prefix,SB,DT Keyboard+Mouse,,,,DT_3_4_CHAR,N,Y
18,Series Prefix,ST,DT Tablet Keyboard,,,,DT_3_4_CHAR,N,Y
19,Description Contains,TOUCH PAD MODULE,TP,TP,常州廠(A9)-IPS,,,N,Y
20,Description Contains,TOUCHPAD MODULE,TP,TP,常州廠(A9)-IPS,,,N,Y
21,Series Prefix,SCMC,WIP,TP,常州廠(A9)-IPS,,,Y,Y
100,Material Number Prefix,850-,WIP,,,,,Y,Y
101,Material Number Prefix,851-,WIP,,,,,Y,Y
102,Material Number Prefix,852-,WIP,,,,,Y,Y
103,Material Number Prefix,H50-,WIP,,,,,Y,Y
104,Material Number Prefix,40201-,WIP,,,,,Y,Y
105,Material Number Prefix,40202-,WIP,,,,,Y,Y
106,Material Number Prefix,40301-,WIP,,,,,Y,Y
107,Material Number Prefix,40302-,WIP,,,,,Y,Y
108,Material Number Prefix,40303-,WIP,,,,,Y,Y
109,Material Number Prefix,40402-,WIP,,,,,Y,Y
110,Material Number Prefix,41002-,WIP,,,,,Y,Y
111,Description Contains,SFG,WIP,,,,,Y,Y
190,Description Contains,ASSY,WIP,,,,,Y,Y
999,Default,*,WIP,,,,,Y,Y
