Priority,Rule Type,Key,Product Type,Product Line,Production Site,Is_WIP,Enabled,Prefix Length
0.1,Production Site Material Prefix Whitelist,40,,,越南海防廠-IPS,,Y,2
0.2,Production Site Material Prefix Whitelist,41,,,越南海防廠-IPS,,Y,2
0.3,Production Site Material Prefix Whitelist,50,,,越南海防廠-IPS,,Y,2
0.4,Production Site Material Prefix Whitelist,51,,,越南海防廠-IPS,,Y,2
0.5,Production Site Material Prefix Whitelist,90,,,越南海防廠-IPS,,Y,2
0.6,Material Number Prefix,SA-,DT Accessory,DT,越南海防廠-IPS,N,Y,3
0.7,Material Number Prefix,SB-,DT Keyboard+Mouse,DT,越南海防廠-IPS,N,Y,3
0.8,Material Number Prefix,SD-,DT Dongle,DT,越南海防廠-IPS,N,Y,3
0.9,Material Number Prefix,SG-,DT Keyboard,DT,越南海防廠-IPS,N,Y,3
0.95,Material Number Prefix,SM-,DT Mouse,DT,越南海防廠-IPS,N,Y,3
1,Material Number Prefix,850-,WIP,,,Y,Y,
1,Plant Exact,3760,,,廣州石碣廠-IPS,,Y,
2,Material Number Prefix,851-,WIP,,,Y,Y,
2,Plant Exact,3775,,,廣州石碣廠-IPS,,Y,
3,Material Number Prefix,852-,WIP,,,Y,Y,
3,Plant Exact,4070,,,泰國廠-IPS,,Y,
4,Material Number Prefix,H50-,WIP,,,Y,Y,
4,Plant Exact,4270,,,越南海防廠-IPS,,Y,
5,Material Number Prefix,40201-,WIP,,,Y,Y,
5,Plant Exact,429A,,,越南海防廠-IPS,,Y,
6,Material Number Prefix,40202-,WIP,,,Y,Y,
6.1,Material Number Prefix,40,WIP,,越南海防廠-IPS,Y,Y,
6.2,Material Number Prefix,41,WIP,,越南海防廠-IPS,Y,Y,
6.3,Material Number Prefix,50,WIP,,越南海防廠-IPS,Y,Y,
6.4,Material Number Prefix,51,WIP,,越南海防廠-IPS,Y,Y,
7,Material Number Prefix,40301-,WIP,,,Y,Y,
8,Material Number Prefix,40302-,WIP,,,Y,Y,
9,Material Number Prefix,40303-,WIP,,,Y,Y,
10,Material Number Prefix,40402-,WIP,,,Y,Y,
11,Material Number Prefix,41002-,WIP,,,Y,Y,
12,Description Contains,FG,WIP,,,N,N,
12,Description Contains,SFG,WIP,,,Y,Y,
20,Description Contains,CZ A2,NB,NB,常州廠(A2)-IPS,N,Y,NB_3RD_CHAR
20,Series Prefix,SN,NB,NB,常州廠(A2)-IPS,N,Y,NB_3RD_CHAR
21,Series Prefix,FU,NB,NB,常州廠(A2)-IPS,N,Y,NB_3RD_CHAR
22,Series Prefix,SP,TP,TP,常州廠(A9)-IPS,N,Y,NB_3RD_CHAR
23,Material Number Prefix,903,DT Mouse,DT,,N,Y,DT_3_4_CHAR
23,Series Prefix,SM,DT Mouse,DT,,N,Y,DT_3_4_CHAR
24,Series Prefix,SA,DT Accessory,DT,,N,Y,DT_3_4_CHAR
25,Series Prefix,SD,DT Dongle,DT,,N,Y,DT_3_4_CHAR
26,Material Number Prefix,902,DT Keyboard,DT,,N,Y,DT_3_4_CHAR
26,Series Prefix,SK,DT Keyboard,DT,,N,Y,DT_3_4_CHAR
27,Material Number Prefix,904,DT Keyboard+Mouse,DT,,N,Y,DT_3_4_CHAR
27,Series Prefix,SB,DT Keyboard+Mouse,DT,,N,Y,DT_3_4_CHAR
28,Series Prefix,ST,DT Tablet Keyboard,DT,,N,Y,DT_3_4_CHAR
29,Series Prefix,SSE,Smart Pen,DT,,N,Y,DT_3_4_CHAR
30,Description Contains,Track pad,Track pad,DT,,N,Y,
31.1,Description Contains,TOUCH PAD MODULE,TP,TP,常州廠(A9)-IPS,N,Y,
31.2,Description Contains,TOUCHPAD MODULE,TP,TP,常州廠(A9)-IPS,N,Y,
32,Series Prefix,SCMC,WIP,TP,常州廠(A9)-IPS,Y,Y,
90,Description Contains,ASSY,WIP,,,Y,N,
997,Production Site Strict Rule Match,廣州石碣廠-IPS,,,廣州石碣廠-IPS,,Y,
998,Production Site Strict Rule Match,越南海防廠-IPS,,,越南海防廠-IPS,,Y,
999,Default,*,WIP,,,Y,Y,
